Vin码,欠压,过压,65534,过温,254,电压国警,温度国警
LJNDFV1T3GN600282,0,0,0,0,3705,0,0
LJNDFV1T5GN253618,0,0,2491,0,2491,0,0
LJNDFV1T6GN600017,0,0,0,0,2347,0,0
LJNDFV1T6GN100049,0,0,1542,0,1542,0,0
LJNDFV1T7GN100044,0,0,1402,0,1402,0,0
LJNDGE2T3GN101672,0,0,1377,0,1377,0,0
LJNDFV1TXGN600702,0,0,1011,0,1011,0,0
LJNDGE2T1HN120190,0,0,867,0,867,0,0
LJNDFV1T8GN600228,0,0,841,0,841,0,0
LJNDFV1T1GN600099,0,0,0,0,812,0,0
LJNDGE2T2HN120246,0,0,713,0,713,53,0
LJNDFV1T0GN253574,0,0,623,0,623,0,0
LJNDFV1T2GN600807,0,0,612,0,612,0,0
LJNDGE2T3HN120014,0,0,611,0,611,0,0
LJNEFE2T3JN120169,0,0,599,0,599,0,0
LJNDFV1T4HN601068,0,0,493,0,493,0,0
LJNDFV1T4GN600310,0,0,483,0,483,0,0
LJNDGE2T5GN101494,0,0,473,0,473,0,0
LJNDFV1T2GN600158,0,0,455,0,455,0,0
LJNDFV1T4GN600100,0,0,425,0,425,0,0
LJNDFV1T6GN600180,0,0,350,0,350,0,0
LJNDGE2T0HN120357,0,0,350,0,350,0,0
LJNEFE2T7JN120482,0,0,350,0,350,0,0
LJNDFV1T3HN601093,0,0,307,0,307,0,0
LJNDGE2T7GN101559,0,0,307,0,307,0,0
LJNDFV1T3HN601112,0,0,287,0,287,0,0
LJNDFV1T5HN601046,0,0,283,0,283,0,0
LJNDGE2T1HN120237,0,0,282,0,282,0,0
LJNDGE2T9GN101529,120,0,280,0,278,120,0
LJNDFV1T3GN600508,0,0,270,0,270,0,0
LJNDFV1TXGN253615,0,0,265,0,265,0,0
LJNDFV1T4GN600243,0,0,246,0,246,0,0
LJNDFV1T6GN600163,0,0,0,0,237,0,0
LJNDFV1T4HN600986,0,0,207,1232,207,0,4431
LJNDFV1TXGN600733,0,0,205,0,205,0,0
LJNEFE2T5JN120187,0,0,173,0,173,0,0
LJNDFV1T8GN600522,0,0,167,0,167,0,0
